allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Paris Brest chocolat,,,,,,,
,Huile d'olive de Nîmes vierge extra,91.5,3443.0,0.0,0.0,,0.0,
,Pop corn caramel,14.0,1929.0,37.0,80.0,,3.0,
,Blanquette de Volaille et son Riz,2.2,450.0,0.5,15.3,0.5,6.8,
,Raviolini au Fromage de chèvre et Pesto,4.2,455.0,1.4,12.5,1.8,4.4,
,Potage instantané champignon,5.7,1473.0,2.0,72.2,,2.5,
,Salade Cesar,12.0,1210.0,0.0,23.0,2.0,22.0,
,Le Craquant au Pineau des Charentes,16.0,1925.0,61.0,68.0,,10.0,
,Alo Exposed,0.0,105.0,6.0,6.0,,0.0,
,Huile d'olive persil ail,,,,,,,
,BERLINGOTS saveur caramel,0.5,1644.0,71.0,97.0,,0.2,
,Broyé de la grande Aquitaine aux noix du sud-ouest,31.0,2264.0,22.0,59.0,,6.4,
,Croc salé,29.0,2213.0,2.7,59.0,,7.2,
,15 petites galettes,25.0,2113.0,25.0,64.0,,6.4,
,Bon bombz jelly,,,,,,,
,Pop corn chocolat,20.0,2004.0,59.0,69.0,,4.0,
,Danoises à la cannelle roulées,14.4,1520.0,28.1,54.1,2.05,4.79,
,Comme j'aime,2.5,297.0,2.1,4.4,,6.7,
,potage instantané tomate basilic,0.3,1460.0,13.8,80.7,,3.4,
,Rucher du domaine national de chambord,,,,,,,
,Entremets Crème Brulée,15.3,1952.4,69.8,75.5,0.1,6.8,
,Potage instantané 8 légumes,0.5,1381.0,4.4,75.9,,3.1,
,petits légumes sauce provençale et riz,21.0,481.0,2.4,21.1,,2.2,
,Bonbon fourres,1.0,4.0,1.0,1.0,,1.0,
,Sel aromatisé d'après Apicius,,,,,,,
,Veggie Colin the Caterpillar,,1329.0,,,,,
,Dragées aux amandes,7.3,1770.0,85.4,85.4,,3.0,
,Dragee d amande,7.3,1770.0,85.4,85.4,,3.0,
,Flute,,,,,,,
,Feta and slow roasted tomato pasta,4.8,644.0,2.2,21.0,,5.5,
,still Scottish water,,,,,,,
,Fairtrade Ground Cinnamon,,,,,,,
,Dragé Coeurs de chocolat argenté,15.0,1966.0,54.0,76.0,,4.1,
,Chaussons tressés aux pommes,10.7,1090.0,24.7,38.7,2.0,3.33,0.0
,Yaourt myrtille,2.7,427.0,14.0,15.0,,4.5,
,Yaourt caramel beurre salé,4.5,565.0,20.0,20.0,,4.2,
,Dragées,15.0,1971.0,70.0,75.0,,4.6,
,Jus de Pomme,0.0,176.0,9.67,9.95,,0.0,
,Dessert lacte,6.0,556.0,11.0,19.0,,3.5,
,Ratatouille Bio,2.4,188.0,3.3,3.8,,1.2,
SOJA,Coeurs chocolat tte couleur,15.0,1966.0,54.0,76.0,,4.1,
,Mini cuchaule au beurre,,,,,,,
,Reese's Peanut Butter Cups,30.5,2125.0,50.8,55.9,,10.2,
,Les confiotes de mamie,,,,,,,
